goos: linux
goarch: amd64
pkg: blog-examples/compression-overview/dict
cpu: 12th Gen Intel(R) Core(TM) i5-12500
BenchmarkCompress/dict=nodict/lib=zstd/level=1         	     452	   5289633 ns/op	 207.13 MB/s	    348311 comp_bytes	         3.146 ratio	    1436 B/op	       0 allocs/op
BenchmarkCompress/dict=nodict/lib=zstd/level=1         	     453	   5285910 ns/op	 207.27 MB/s	    348311 comp_bytes	         3.146 ratio	    1433 B/op	       0 allocs/op
BenchmarkCompress/dict=nodict/lib=zstd/level=1         	     452	   5290312 ns/op	 207.10 MB/s	    348311 comp_bytes	         3.146 ratio	    1436 B/op	       0 allocs/op
BenchmarkCompress/dict=nodict/lib=zstd/level=1         	     452	   5289843 ns/op	 207.12 MB/s	    348311 comp_bytes	         3.146 ratio	    1436 B/op	       0 allocs/op
BenchmarkCompress/dict=nodict/lib=zstd/level=1         	     452	   5291932 ns/op	 207.04 MB/s	    348311 comp_bytes	         3.146 ratio	    1436 B/op	       0 allocs/op
BenchmarkCompress/dict=nodict/lib=zstd/level=1         	     453	   5289678 ns/op	 207.13 MB/s	    348311 comp_bytes	         3.146 ratio	    1433 B/op	       0 allocs/op
BenchmarkCompress/dict=nodict/lib=zstd/level=3         	     362	   6603920 ns/op	 165.91 MB/s	    335474 comp_bytes	         3.266 ratio	    4666 B/op	       0 allocs/op
BenchmarkCompress/dict=nodict/lib=zstd/level=3         	     362	   6603029 ns/op	 165.93 MB/s	    335474 comp_bytes	         3.266 ratio	    4666 B/op	       0 allocs/op
BenchmarkCompress/dict=nodict/lib=zstd/level=3         	     357	   6690762 ns/op	 163.75 MB/s	    335474 comp_bytes	         3.266 ratio	    4731 B/op	       0 allocs/op
BenchmarkCompress/dict=nodict/lib=zstd/level=3         	     362	   6601113 ns/op	 165.98 MB/s	    335474 comp_bytes	         3.266 ratio	    4666 B/op	       0 allocs/op
BenchmarkCompress/dict=nodict/lib=zstd/level=3         	     358	   6674692 ns/op	 164.15 MB/s	    335474 comp_bytes	         3.266 ratio	    4718 B/op	       0 allocs/op
BenchmarkCompress/dict=nodict/lib=zstd/level=3         	     362	   6598017 ns/op	 166.05 MB/s	    335474 comp_bytes	         3.266 ratio	    4666 B/op	       0 allocs/op
BenchmarkCompress/dict=nodict/lib=zstd/level=7         	     241	   9890397 ns/op	 110.78 MB/s	    329362 comp_bytes	         3.327 ratio	   88861 B/op	       0 allocs/op
BenchmarkCompress/dict=nodict/lib=zstd/level=7         	     240	   9961014 ns/op	 109.99 MB/s	    329362 comp_bytes	         3.327 ratio	   89231 B/op	       0 allocs/op
BenchmarkCompress/dict=nodict/lib=zstd/level=7         	     240	   9923029 ns/op	 110.41 MB/s	    329362 comp_bytes	         3.327 ratio	   89231 B/op	       0 allocs/op
BenchmarkCompress/dict=nodict/lib=zstd/level=7         	     242	   9880437 ns/op	 110.89 MB/s	    329362 comp_bytes	         3.327 ratio	   88493 B/op	       0 allocs/op
BenchmarkCompress/dict=nodict/lib=zstd/level=7         	     241	   9894583 ns/op	 110.73 MB/s	    329362 comp_bytes	         3.327 ratio	   88861 B/op	       0 allocs/op
BenchmarkCompress/dict=nodict/lib=zstd/level=7         	     242	   9885742 ns/op	 110.83 MB/s	    329362 comp_bytes	         3.327 ratio	   88493 B/op	       0 allocs/op
BenchmarkCompress/dict=nodict/lib=zstd/level=11        	      93	  25268906 ns/op	  43.36 MB/s	    320440 comp_bytes	         3.419 ratio	  567838 B/op	       0 allocs/op
BenchmarkCompress/dict=nodict/lib=zstd/level=11        	      92	  25482216 ns/op	  43.00 MB/s	    320440 comp_bytes	         3.419 ratio	  574010 B/op	       0 allocs/op
BenchmarkCompress/dict=nodict/lib=zstd/level=11        	      92	  25510803 ns/op	  42.95 MB/s	    320440 comp_bytes	         3.419 ratio	  574010 B/op	       0 allocs/op
BenchmarkCompress/dict=nodict/lib=zstd/level=11        	      93	  25436148 ns/op	  43.07 MB/s	    320440 comp_bytes	         3.419 ratio	  567838 B/op	       0 allocs/op
BenchmarkCompress/dict=nodict/lib=zstd/level=11        	      93	  25371376 ns/op	  43.18 MB/s	    320440 comp_bytes	         3.419 ratio	  567838 B/op	       0 allocs/op
BenchmarkCompress/dict=nodict/lib=zstd/level=11        	      92	  25779930 ns/op	  42.50 MB/s	    320440 comp_bytes	         3.419 ratio	  574010 B/op	       0 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=3       	     232	  10243646 ns/op	 106.96 MB/s	    329846 comp_bytes	         3.322 ratio	   40955 B/op	       0 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=3       	     232	  10250001 ns/op	 106.89 MB/s	    329846 comp_bytes	         3.322 ratio	   40931 B/op	       0 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=3       	     232	  10258696 ns/op	 106.80 MB/s	    329846 comp_bytes	         3.322 ratio	   40931 B/op	       0 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=3       	     234	  10238625 ns/op	 107.01 MB/s	    329846 comp_bytes	         3.322 ratio	   40582 B/op	       0 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=3       	     234	  10244782 ns/op	 106.95 MB/s	    329846 comp_bytes	         3.322 ratio	   40582 B/op	       0 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=3       	     234	  10237996 ns/op	 107.02 MB/s	    329846 comp_bytes	         3.322 ratio	   40582 B/op	       0 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=4       	     163	  14660646 ns/op	  74.73 MB/s	    319850 comp_bytes	         3.425 ratio	   60393 B/op	       0 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=4       	     163	  14676569 ns/op	  74.65 MB/s	    319850 comp_bytes	         3.425 ratio	   60393 B/op	       0 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=4       	     163	  14685392 ns/op	  74.61 MB/s	    319850 comp_bytes	         3.425 ratio	   60393 B/op	       0 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=4       	     163	  14686735 ns/op	  74.60 MB/s	    319850 comp_bytes	         3.425 ratio	   60393 B/op	       0 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=4       	     163	  14681608 ns/op	  74.63 MB/s	    319850 comp_bytes	         3.425 ratio	   60393 B/op	       0 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=4       	     163	  14683811 ns/op	  74.61 MB/s	    319850 comp_bytes	         3.425 ratio	   60393 B/op	       0 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=5       	     120	  19843669 ns/op	  55.21 MB/s	    300803 comp_bytes	         3.642 ratio	  113461 B/op	       6 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=5       	     120	  19860951 ns/op	  55.17 MB/s	    300803 comp_bytes	         3.642 ratio	  113461 B/op	       6 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=5       	     120	  19882112 ns/op	  55.11 MB/s	    300803 comp_bytes	         3.642 ratio	  113461 B/op	       6 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=5       	     120	  19892137 ns/op	  55.08 MB/s	    300803 comp_bytes	         3.642 ratio	  113461 B/op	       6 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=5       	     120	  19835064 ns/op	  55.24 MB/s	    300803 comp_bytes	         3.642 ratio	  113461 B/op	       6 allocs/op
BenchmarkCompress/dict=nodict/lib=brotli/level=5       	     120	  19839541 ns/op	  55.22 MB/s	    300803 comp_bytes	         3.642 ratio	  113461 B/op	       6 allocs/op
