mode,frame,compressed_bytes
reset,0,1090
reset,1,2502
reset,2,4528
reset,3,1241
reset,4,2995
reset,5,1253
reset,6,1729
reset,7,1399
reset,8,2380
reset,9,2265
reset,10,10386
reset,11,2461
reset,12,2425
reset,13,3048
reset,14,2508
reset,15,3718
reset,16,1654
reset,17,2324
reset,18,2495
reset,19,4797
reset,20,1376
reset,21,2023
reset,22,4547
reset,23,4584
reset,24,3078
reset,25,4633
reset,26,4246
reset,27,2231
reset,28,2864
reset,29,2124
reset,30,2902
reset,31,2532
reset,32,3324
reset,33,4079
reset,34,2474
reset,35,1936
reset,36,1757
reset,37,1539
reset,38,7914
reset,39,1737
reset,40,1919
reset,41,5831
reset,42,1733
reset,43,1999
reset,44,1615
reset,45,2319
reset,46,4385
reset,47,4690
reset,48,2362
reset,49,3242
reset,50,4129
reset,51,3463
reset,52,5512
reset,53,2665
reset,54,2659
reset,55,4517
reset,56,1896
reset,57,3098
reset,58,2933
reset,59,975
reset,60,2613
reset,61,1936
reset,62,3204
reset,63,3689
reset,64,1349
reset,65,2565
reset,66,2893
reset,67,2171
reset,68,4094
reset,69,1542
reset,70,2784
reset,71,1789
reset,72,6438
reset,73,2740
reset,74,2742
reset,75,2604
reset,76,2347
reset,77,2269
reset,78,2761
reset,79,3246
reset,80,4375
reset,81,2701
reset,82,3113
reset,83,3802
reset,84,7378
reset,85,3039
reset,86,1356
reset,87,1633
reset,88,2492
reset,89,2213
reset,90,2805
reset,91,3912
reset,92,2144
reset,93,2452
reset,94,3880
reset,95,4259
reset,96,1788
reset,97,3323
reset,98,3340
reset,99,4430
dict,0,594
dict,1,1806
dict,2,3329
dict,3,730
dict,4,2302
dict,5,791
dict,6,1107
dict,7,904
dict,8,1868
dict,9,1528
dict,10,9044
dict,11,1793
dict,12,1282
dict,13,1891
dict,14,1612
dict,15,3034
dict,16,1135
dict,17,1786
dict,18,1833
dict,19,3616
dict,20,767
dict,21,1272
dict,22,3380
dict,23,3247
dict,24,1918
dict,25,3419
dict,26,3003
dict,27,1650
dict,28,2147
dict,29,1365
dict,30,2205
dict,31,1303
dict,32,2100
dict,33,2746
dict,34,1300
dict,35,1159
dict,36,1251
dict,37,877
dict,38,6522
dict,39,676
dict,40,1409
dict,41,5128
dict,42,998
dict,43,1205
dict,44,1058
dict,45,1167
dict,46,3415
dict,47,4217
dict,48,1193
dict,49,2607
dict,50,2980
dict,51,2204
dict,52,4602
dict,53,1906
dict,54,2114
dict,55,3322
dict,56,1256
dict,57,1939
dict,58,2228
dict,59,442
dict,60,2082
dict,61,869
dict,62,2015
dict,63,2343
dict,64,849
dict,65,872
dict,66,2114
dict,67,1021
dict,68,2930
dict,69,885
dict,70,2096
dict,71,1290
dict,72,5636
dict,73,2165
dict,74,1529
dict,75,1348
dict,76,1819
dict,77,1126
dict,78,1591
dict,79,2607
dict,80,3137
dict,81,1913
dict,82,2610
dict,83,2849
dict,84,6189
dict,85,1836
dict,86,796
dict,87,1107
dict,88,1969
dict,89,1636
dict,90,2281
dict,91,2668
dict,92,1606
dict,93,1125
dict,94,2144
dict,95,2884
dict,96,1257
dict,97,2767
dict,98,2646
dict,99,3600
stream,0,1091
stream,1,2014
stream,2,3966
stream,3,693
stream,4,1536
stream,5,732
stream,6,1085
stream,7,848
stream,8,1810
stream,9,1615
stream,10,9534
stream,11,1152
stream,12,1636
stream,13,1299
stream,14,1803
stream,15,2869
stream,16,1068
stream,17,1690
stream,18,883
stream,19,2876
stream,20,725
stream,21,1298
stream,22,1719
stream,23,3048
stream,24,1760
stream,25,3212
stream,26,2211
stream,27,1561
stream,28,946
stream,29,880
stream,30,2069
stream,31,1709
stream,32,1641
stream,33,1303
stream,34,1245
stream,35,551
stream,36,1211
stream,37,875
stream,38,5234
stream,39,561
stream,40,1283
stream,41,4803
stream,42,973
stream,43,1154
stream,44,975
stream,45,1022
stream,46,3344
stream,47,3921
stream,48,616
stream,49,2204
stream,50,2655
stream,51,1869
stream,52,4264
stream,53,1776
stream,54,1955
stream,55,2800
stream,56,575
stream,57,1696
stream,58,1448
stream,59,438
stream,60,2023
stream,61,607
stream,62,827
stream,63,2091
stream,64,785
stream,65,809
stream,66,1479
stream,67,932
stream,68,2648
stream,69,548
stream,70,1945
stream,71,1240
stream,72,5417
stream,73,2074
stream,74,1420
stream,75,1003
stream,76,1501
stream,77,953
stream,78,881
stream,79,98
stream,80,2415
stream,81,1422
stream,82,2085
stream,83,1167
stream,84,4991
stream,85,1368
stream,86,749
stream,87,926
stream,88,1942
stream,89,1543
stream,90,2097
stream,91,1611
stream,92,1499
stream,93,872
stream,94,1783
stream,95,1944
stream,96,1165
stream,97,2614
stream,98,2129
stream,99,2932
